epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
64,32039.8,0.21074,0.69481,0.91169,1.32016,4.62849e-05,4.62849e-05,4.62849e-05
65,32568.8,0.2126,0.69675,0.91234,1.35401,4.50672e-05,4.50672e-05,4.50672e-05
66,33095.7,0.20671,0.69351,0.91299,1.3498,4.38495e-05,4.38495e-05,4.38495e-05
67,33619.6,0.21213,0.7013,0.91234,1.40558,4.26318e-05,4.26318e-05,4.26318e-05
68,34142.9,0.2177,0.7026,0.91104,1.37194,4.14141e-05,4.14141e-05,4.14141e-05
69,34671.5,0.20149,0.70455,0.91299,1.34349,4.01964e-05,4.01964e-05,4.01964e-05
70,35196.1,0.20663,0.69805,0.91169,1.34454,3.89787e-05,3.89787e-05,3.89787e-05
71,35720.2,0.19933,0.69675,0.91169,1.33218,3.7761e-05,3.7761e-05,3.7761e-05
72,36243,0.18611,0.69935,0.91234,1.35329,3.65433e-05,3.65433e-05,3.65433e-05
73,36767.7,0.20096,0.69675,0.91169,1.3861,3.53256e-05,3.53256e-05,3.53256e-05
74,37307.1,0.18849,0.69286,0.91039,1.37665,3.41079e-05,3.41079e-05,3.41079e-05
75,37778.4,0.1862,0.70325,0.90909,1.39102,3.28902e-05,3.28902e-05,3.28902e-05
76,38245.3,0.19387,0.70584,0.91364,1.3599,3.16725e-05,3.16725e-05,3.16725e-05
77,38718,0.18448,0.70195,0.91039,1.38705,3.04548e-05,3.04548e-05,3.04548e-05
78,39205.1,0.17931,0.70325,0.90974,1.33894,2.92371e-05,2.92371e-05,2.92371e-05
79,39672.9,0.1839,0.7013,0.91364,1.31285,2.80194e-05,2.80194e-05,2.80194e-05
80,40137.6,0.17674,0.70519,0.91429,1.32192,2.68017e-05,2.68017e-05,2.68017e-05
81,40602.5,0.1676,0.69935,0.91623,1.33792,2.5584e-05,2.5584e-05,2.5584e-05
82,41069.6,0.1764,0.6987,0.91299,1.33082,2.43663e-05,2.43663e-05,2.43663e-05
83,41534.5,0.17116,0.69351,0.91364,1.35622,2.31486e-05,2.31486e-05,2.31486e-05
