epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
35,5744.53,1.02417,0.58636,0.85455,1.54819,8.15982e-05,8.15982e-05,8.15982e-05
36,5893.05,0.99761,0.59545,0.85909,1.57405,8.03805e-05,8.03805e-05,8.03805e-05
37,6042.25,0.95515,0.58831,0.85584,1.5751,7.91628e-05,7.91628e-05,7.91628e-05
38,6190.98,0.93489,0.59091,0.85195,1.58965,7.79451e-05,7.79451e-05,7.79451e-05
39,6337.16,0.93969,0.59156,0.85779,1.55218,7.67274e-05,7.67274e-05,7.67274e-05
40,6484.27,0.91737,0.59221,0.85844,1.57338,7.55097e-05,7.55097e-05,7.55097e-05
41,6630.68,0.89809,0.59351,0.86039,1.56904,7.4292e-05,7.4292e-05,7.4292e-05
42,6777.26,0.90057,0.58961,0.85974,1.56526,7.30743e-05,7.30743e-05,7.30743e-05
43,6923.08,0.86103,0.59026,0.85779,1.56717,7.18566e-05,7.18566e-05,7.18566e-05
44,7069.05,0.84744,0.59545,0.85909,1.56577,7.06389e-05,7.06389e-05,7.06389e-05
45,7215.42,0.82405,0.59481,0.85779,1.61536,6.94212e-05,6.94212e-05,6.94212e-05
46,7360.62,0.8486,0.59545,0.85519,1.63218,6.82035e-05,6.82035e-05,6.82035e-05
47,7505.75,0.81717,0.59351,0.85584,1.57601,6.69858e-05,6.69858e-05,6.69858e-05
48,7651,0.80825,0.59351,0.85325,1.60617,6.57681e-05,6.57681e-05,6.57681e-05
49,7796.79,0.80609,0.59935,0.85455,1.5767,6.45504e-05,6.45504e-05,6.45504e-05
50,7944.26,0.78583,0.6026,0.85649,1.626,6.33327e-05,6.33327e-05,6.33327e-05
51,8090.3,0.77082,0.5974,0.85519,1.59143,6.2115e-05,6.2115e-05,6.2115e-05
52,8235.29,0.76458,0.60325,0.85714,1.5941,6.08973e-05,6.08973e-05,6.08973e-05
53,8376.65,0.74897,0.61169,0.85779,1.61967,5.96796e-05,5.96796e-05,5.96796e-05
54,8517.56,0.73016,0.60325,0.85714,1.58747,5.84619e-05,5.84619e-05,5.84619e-05
55,8660.21,0.73203,0.60325,0.85584,1.56885,5.72442e-05,5.72442e-05,5.72442e-05
56,8801.43,0.73731,0.60584,0.85844,1.57015,5.60265e-05,5.60265e-05,5.60265e-05
57,8942.27,0.71815,0.60714,0.86234,1.56141,5.48088e-05,5.48088e-05,5.48088e-05
58,9086.6,0.70082,0.60909,0.85974,1.57074,5.35911e-05,5.35911e-05,5.35911e-05
59,9230.81,0.67054,0.60455,0.85844,1.59081,5.23734e-05,5.23734e-05,5.23734e-05
60,9372.96,0.68676,0.6039,0.85455,1.57965,5.11557e-05,5.11557e-05,5.11557e-05
