name,parameters,memory_MB,mean,std,min,max
model.0.conv.weight,1728,0.006591796875,-0.09332761913537979,7.98733377456665,-69.51103210449219,46.15102767944336
model.0.conv.bias,64,0.000244140625,0.011007964611053467,3.689051389694214,-14.110068321228027,4.379397392272949
model.1.conv.weight,73728,0.28125,-0.0012860535643994808,0.04055037349462509,-0.5912365913391113,0.48627135157585144
model.1.conv.bias,128,0.00048828125,2.1146721839904785,1.6648279428482056,-3.363050699234009,10.056744575500488
model.2.cv1.conv.weight,16384,0.0625,-0.0074952575378119946,0.1258554458618164,-1.147452473640442,1.3876606225967407
model.2.cv1.conv.bias,128,0.00048828125,1.5790517330169678,2.876494884490967,-16.166400909423828,9.908501625061035
onnx::Split_110,2,1.52587890625e-05,64.0,0.0,64.0,64.0
model.2.m.0.cv1.conv.weight,2048,0.0078125,-0.015504729002714157,0.09655168652534485,-1.1049447059631348,1.1908377408981323
model.2.m.0.cv1.conv.bias,32,0.0001220703125,1.1483392715454102,1.5828975439071655,-3.827411651611328,5.129239082336426
model.2.m.0.cv2.conv.weight,2048,0.0078125,-0.021562084555625916,0.12163922935724258,-0.6851121783256531,0.8760914206504822
model.2.m.0.cv2.conv.bias,32,0.0001220703125,1.0201442241668701,1.0674705505371094,-1.7628910541534424,3.9822335243225098
model.2.m.0.m.0.cv1.conv.weight,9216,0.03515625,-0.0027265208773314953,0.07241784781217575,-1.0255714654922485,0.8186286091804504
model.2.m.0.m.0.cv1.conv.bias,32,0.0001220703125,0.6591566801071167,1.9231914281845093,-5.2045722007751465,4.604372501373291
model.2.m.0.m.0.cv2.conv.weight,9216,0.03515625,-0.0030136897694319487,0.0838463231921196,-0.5966925024986267,0.638775646686554
model.2.m.0.m.0.cv2.conv.bias,32,0.0001220703125,0.4192892014980316,1.4618414640426636,-2.530825138092041,4.0224409103393555
model.2.m.0.m.1.cv1.conv.weight,9216,0.03515625,-0.0035290170926600695,0.054431263357400894,-0.4959488809108734,0.5573601722717285
model.2.m.0.m.1.cv1.conv.bias,32,0.0001220703125,0.7573637366294861,2.0495829582214355,-5.101208686828613,5.890227317810059
model.2.m.0.m.1.cv2.conv.weight,9216,0.03515625,-0.002386833308264613,0.08141983300447464,-0.49460819363594055,0.7797631621360779
model.2.m.0.m.1.cv2.conv.bias,32,0.0001220703125,2.6688735485076904,1.626666784286499,-1.671886920928955,6.788460731506348
